id,time,Reply,Context
hughroses,2s,"NEW: CHA Hollywood Presbyterian Medical Center on May 07, 2021
Total Appointments at Location: 333
Age Group: 16+

Address: 1300 N Vermont Avenue, Los Angeles, CA 90027
Posted @ 1620173045
https://caprepmod.org/reg/5111296094","NEW: CHA Hollywood Presbyterian Medical Center on May 07, 2021
Total Appointments at Location: 333
Age Group: 16+

Address: 1300 N Vermont Avenue, Los Angeles, CA 90027
Posted @ 1620173045
https://caprepmod.org/reg/5111296094"
Jordi Comas- Progress=End Filibuster,11s,"Replying to 
@MonicaGandhi9","Replying to 
@MonicaGandhi9
Dr Gandhi, is that the only report for AstraZeneca vaccine inducing good T Cell response?"
Kentucky Get Your Covid Vaccine Now,21s,"Replying to 
@KBrunk5
 and 
@ABC","Replying to 
@KBrunk5
 and 
@ABC
Trump didn't develop anything. Scientists did. OWS didn't develop our 1st vaccines, Germany without any of our financial aid did. Trump had no distribution plan. Biden did."
Mike Rhone,32s,"Replying to 
@mmpadellan","Replying to 
@mmpadellan
Lol fuck no 
 enjoy your rushed Trump vaccine"
Irma Mosham,45s,"Replying to 
@patriottakes","Replying to 
@patriottakes
Holy shit the people who say that vaccines have chips to track you are the same ones that will totally eat up this site"
Vaccine Hunters BC,1m,"Replying to 
@DanSchneierNFL","Replying to 
@DanSchneierNFL
Sorry I’ll miss this tonight. I’m in a fog after my 2nd vaccine tonight."
Kevin Pearl,1m,"So glad to have FINALLY been able to get my first vaccine shot today (Moderna), but my arm is already sore. I’ll take it. All day every day. So glad to be on the way to becoming vaccinated!","So glad to have FINALLY been able to get my first vaccine shot today (Moderna), but my arm is already sore. I’ll take it. All day every day. So glad to be on the way to becoming vaccinated!"
,1m,"Replying to 
@MiaFarrow","Replying to 
@MiaFarrow
Absolutely! If Americans refuse the vaccine, help our neighbors and those who want it!"
Kate,1m,"Honest to God question. If vaccines are effective, why are vaccinated  asked to wear masks and social distance? Seriously, answering this would go a long way in soothing doubt.  Please don’t tell me they can still be carriers, because that cancels the effectiveness thing.","Honest to God question. If vaccines are effective, why are vaccinated  asked to wear masks and social distance? Seriously, answering this would go a long way in soothing doubt.  Please don’t tell me they can still be carriers, because that cancels the effectiveness thing."
Cyd,1m,"Replying to 
@ninaturner","Replying to 
@ninaturner
I think India should bloody well override the vaccine cartel, they certainly have the existential right to do so. 

@palkisu
Gravitas: Can India override vaccine patents?
Only two out of 3,000+ pharma companies in India are producing Covid vaccines. With compulsory licensing, India can legally override vaccine patents and auth...
youtube.com"
